QRCODE;DO_VERTICE;AO_VERTICE;TIPO;AZIMUTE;COMPRIMENTO;CONFRONTANTE_DESC;LADO;INDICE;GEOMETRIA_WKT;
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-V-12234;DB5-P-24072;LN1;112,875493025;26,9850895303;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;1;LINESTRING (-53.4865433634263354 -23.5807709316323333, -53.4862998094617694 -23.5808656423534799);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24072;DB5-P-24073;LN1;99,3715652702;17,4298908989;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;2;LINESTRING (-53.4862998094617694 -23.5808656423534799, -53.4861313462723089 -23.5808912678646578);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24073;DB5-P-24074;LN1;74,4692964605;21,8241880846;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;3;LINESTRING (-53.4861313462723089 -23.5808912678646578, -53.4859253640731538 -23.5808385079021186);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24074;DB5-P-24075;LN1;136,979845822;23,8529571656;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;4;LINESTRING (-53.4859253640731538 -23.5808385079021186, -53.4857659467716005 -23.5809959623730840);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24075;DB5-P-24076;LN1;57,8752854699;25,064925374;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;5;LINESTRING (-53.4857659467716005 -23.5809959623730840, -53.4855580056404563 -23.5808756213400486);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24076;DB5-P-24077;LN1;98,9927878185;31,2531555326;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;6;LINESTRING (-53.4855580056404563 -23.5808756213400486, -53.4852556148654372 -23.5809197282224297);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24077;DB5-P-24078;LN1;172,817061118;15,320487736;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;7;LINESTRING (-53.4852556148654372 -23.5809197282224297, -53.4852368493695920 -23.5810569675588155);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24078;DB5-P-24079;LN1;106,019296176;13,0724651545;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;8;LINESTRING (-53.4852368493695920 -23.5810569675588155, -53.4851137647552477 -23.5810895386919412);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24079;DB5-P-24080;LN1;127,829072247;16,1243712053;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;9;LINESTRING (-53.4851137647552477 -23.5810895386919412, -53.4849890061034969 -23.5811788258511328);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24080;DB5-P-24081;LN1;90,9946476764;33,3483435069;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;10;LINESTRING (-53.4849890061034969 -23.5811788258511328, -53.4846623764411788 -23.5811840522029321);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24081;DB5-P-24082;LN1;138,816673913;12,0595118527;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;11;LINESTRING (-53.4846623764411788 -23.5811840522029321, -53.4845845883188815 -23.5812659978494601);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24082;DB5-P-24083;LN1;71,633579622;15,2578101319;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;12;LINESTRING (-53.4845845883188815 -23.5812659978494601, -53.4844427370165789 -23.5812225908627369);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24083;DB5-P-24084;LN1;131,179383194;17,0105272537;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;13;LINESTRING (-53.4844427370165789 -23.5812225908627369, -53.4843173191697048 -23.5813237133918001);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24084;DB5-P-24085;LN1;138,003035787;54,6526532125;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;14;LINESTRING (-53.4843173191697048 -23.5813237133918001, -53.4839591030965522 -23.5816904320497649);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24085;DB5-P-24086;LN1;87,7432797675;6,69844104469;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;15;LINESTRING (-53.4839591030965522 -23.5816904320497649, -53.4838935360586234 -23.5816880505670952);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24086;DB5-P-24087;LN1;34,6706913738;46,7282916488;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;16;LINESTRING (-53.4838935360586234 -23.5816880505670952, -53.4836331416125361 -23.5813410662625031);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24087;DB5-P-24088;LN1;33,4454453428;8,84922647582;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;17;LINESTRING (-53.4836331416125361 -23.5813410662625031, -53.4835853648861530 -23.5812743988930720);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24088;DB5-P-24089;LN1;99,1701326868;21,1577526429;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;18;LINESTRING (-53.4835853648861530 -23.5812743988930720, -53.4833807532223418 -23.5813048422750526);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24089;DB5-P-24090;LN1;168,488403806;10,7104573826;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;19;LINESTRING (-53.4833807532223418 -23.5813048422750526, -53.4833598148533511 -23.5813995992296697);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24090;DB5-P-24091;LN1;141,933191817;21,8603738883;Rio do Veado - Matrículas n°s 682 e 679;EXTERNO;20;LINESTRING (-53.4833598148533511 -23.5813995992296697, -53.4832277781073984 -23.5815549886188407);
