QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-V-12234;PA1;V;0,0;0,0;0,0;EXTERNO;1;246223,93;7389982,83;284.94;POINT (-53.4865433634263354 -23.5807709316323333);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24072;PG3;P;0,0;0,0;0,0;EXTERNO;2;246248,98;7389972,77;286.11;POINT (-53.4862998094617694 -23.5808656423534799);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24073;PG3;P;0,0;0,0;0,0;EXTERNO;3;246266,23;7389970,23;286.01;POINT (-53.4861313462723089 -23.5808912678646578);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24074;PG3;P;0,0;0,0;0,0;EXTERNO;4;246287,16;7389976,44;286.1;POINT (-53.4859253640731538 -23.5808385079021186);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24075;PG3;P;0,0;0,0;0,0;EXTERNO;5;246303,74;7389959,28;286.17;POINT (-53.4857659467716005 -23.5809959623730840);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24076;PG3;P;0,0;0,0;0,0;EXTERNO;6;246324,74;7389972,98;286.0;POINT (-53.4855580056404563 -23.5808756213400486);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24077;PG3;P;0,0;0,0;0,0;EXTERNO;7;246355,70;7389968,63;286.14;POINT (-53.4852556148654372 -23.5809197282224297);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24078;PG3;P;0,0;0,0;0,0;EXTERNO;8;246357,88;7389953,46;286.31;POINT (-53.4852368493695920 -23.5810569675588155);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24079;PG3;P;0,0;0,0;0,0;EXTERNO;9;246370,51;7389950,07;286.1;POINT (-53.4851137647552477 -23.5810895386919412);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24080;PG3;P;0,01;0,01;0,01;EXTERNO;10;246383,42;7389940,40;286.31;POINT (-53.4849890061034969 -23.5811788258511328);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24081;PG3;P;0,0;0,0;0,0;EXTERNO;11;246416,78;7389940,40;286.0;POINT (-53.4846623764411788 -23.5811840522029321);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24082;PG3;P;0,0;0,0;0,0;EXTERNO;12;246424,88;7389931,46;286.08;POINT (-53.4845845883188815 -23.5812659978494601);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24083;PG3;P;0,0;0,0;0,0;EXTERNO;13;246439,28;7389936,52;285.96;POINT (-53.4844427370165789 -23.5812225908627369);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24084;PG3;P;0,0;0,0;0,0;EXTERNO;14;246452,28;7389925,54;286.05;POINT (-53.4843173191697048 -23.5813237133918001);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24085;PG3;P;0,0;0,0;0,0;EXTERNO;15;246489,56;7389885,55;286.15;POINT (-53.4839591030965522 -23.5816904320497649);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24086;PG3;P;0,0;0,0;0,0;EXTERNO;16;246496,25;7389885,93;286.07;POINT (-53.4838935360586234 -23.5816880505670952);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24087;PG3;P;0,0;0,0;0,0;EXTERNO;17;246522,17;7389924,83;286.42;POINT (-53.4836331416125361 -23.5813410662625031);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24088;PG3;P;0,0;0,0;0,01;EXTERNO;18;246526,92;7389932,30;286.42;POINT (-53.4835853648861530 -23.5812743988930720);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24089;PG3;P;0,0;0,0;0,01;EXTERNO;19;246547,87;7389929,29;286.6;POINT (-53.4833807532223418 -23.5813048422750526);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24090;PG3;P;0,0;0,0;0,0;EXTERNO;20;246550,19;7389918,83;286.7;POINT (-53.4833598148533511 -23.5813995992296697);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24091;PG3;P;0,0;0,0;0,01;EXTERNO;21;246563,97;7389901,85;286.98;POINT (-53.4832277781073984 -23.5815549886188407);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24092;PG3;P;0,0;0,0;0,0;EXTERNO;22;246571,25;7389881,60;287.02;POINT (-53.4831599387329177 -23.5817388695845445);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24093;PG3;P;0,0;0,0;0,0;EXTERNO;23;246582,75;7389872,16;286.87;POINT (-53.4830489444392825 -23.5818258590050291);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24094;PG3;P;0,01;0,0;0,02;EXTERNO;24;246588,80;7389861,70;287.15;POINT (-53.4829914848839110 -23.5819211998878693);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24095;PG5;P;0,04;0,03;0,12;EXTERNO;25;246589,52;7389845,30;286.69;POINT (-53.4829872209487291 -23.5820693104108656);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24096;PG5;P;0,03;0,02;0,12;EXTERNO;26;246625,92;7389810,06;286.65;POINT (-53.4826368085458910 -23.5823930234708818);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24097;PG3;P;0,0;0,0;0,01;EXTERNO;27;246637,94;7389818,65;287.3;POINT (-53.4825176599252998 -23.5823173865894091);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24098;PG3;P;0,0;0,0;0,0;EXTERNO;28;246650,55;7389805,81;287.63;POINT (-53.4823963739113495 -23.5824352318422150);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24099;PG3;P;0,0;0,0;0,01;EXTERNO;29;246674,27;7389794,40;287.74;POINT (-53.4821660648678403 -23.5825419111452632);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24100;PG3;P;0,0;0,0;0,0;EXTERNO;30;246686,65;7389792,73;287.69;POINT (-53.4820451336442417 -23.5825589191616807);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24101;PG3;P;0,0;0,0;0,01;EXTERNO;31;246711,21;7389793,12;287.51;POINT (-53.4818045960252491 -23.5825592431188902);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24102;PG3;P;0,0;0,0;0,01;EXTERNO;32;246722,14;7389764,12;287.7;POINT (-53.4817025019070016 -23.5828226571127040);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24103;PG3;P;0,0;0,0;0,0;EXTERNO;33;246733,23;7389755,77;291.04;POINT (-53.4815953350520132 -23.5828997450350073);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24104;PG3;P;0,0;0,0;0,0;EXTERNO;34;246768,02;7389790,97;287.71;POINT (-53.4812487238053791 -23.5825875341252846);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24105;PG3;P;0,0;0,0;0,01;EXTERNO;35;246771,27;7389822,71;288.04;POINT (-53.4812115148724843 -23.5823016123143603);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24106;PG3;P;0,0;0,0;0,01;EXTERNO;36;246784,03;7389822,64;288.17;POINT (-53.4810865914555578 -23.5823042401945777);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24107;PG3;P;0,0;0,0;0,01;EXTERNO;37;246806,49;7389841,20;287.53;POINT (-53.4808635318852907 -23.5821402631428683);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24108;PG3;P;0,0;0,0;0,01;EXTERNO;38;246838,50;7389834,55;287.25;POINT (-53.4805512453457510 -23.5822052812952947);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24109;PG5;P;0,01;0,01;0,04;EXTERNO;39;246853,01;7389827,96;286.43;POINT (-53.4804102937538559 -23.5822670205913099);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24110;PG3;P;0,0;0,0;0,0;EXTERNO;40;246870,01;7389813,28;287.51;POINT (-53.4802463346532946 -23.5824021555497794);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24111;PG3;P;0,0;0,0;0,0;EXTERNO;41;246894,50;7389794,05;287.32;POINT (-53.4800098111256830 -23.5825795220473431);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24112;PG3;P;0,01;0,0;0,02;EXTERNO;42;246894,69;7389783,51;287.14;POINT (-53.4800097390128144 -23.5826746676270886);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24113;PG3;P;0,0;0,0;0,0;EXTERNO;43;246950,53;7389744,29;287.54;POINT (-53.4794696507473546 -23.5830373306686347);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24114;PG3;P;0,0;0,0;0,0;EXTERNO;44;246964,60;7389733,50;287.59;POINT (-53.4793337182396797 -23.5831369022842203);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24115;PG3;P;0,0;0,0;0,0;EXTERNO;45;246975,65;7389731,17;287.45;POINT (-53.4792259201923628 -23.5831596562823407);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24116;PG3;P;0,0;0,0;0,0;EXTERNO;46;246987,03;7389737,40;287.64;POINT (-53.4791134391888505 -23.5831052139433659);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24117;PG3;P;0,0;0,0;0,0;EXTERNO;47;246992,02;7389732,09;287.67;POINT (-53.4790654814615607 -23.5831539128958845);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24118;PG3;P;0,0;0,0;0,0;EXTERNO;48;246996,50;7389729,24;287.94;POINT (-53.4790221000282955 -23.5831803323831011);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24119;PG3;P;0,0;0,0;0,0;EXTERNO;49;247004,66;7389715,81;288.05;POINT (-53.4789444810574608 -23.5833028039840045);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24120;PG3;P;0,0;0,0;0,0;EXTERNO;50;247000,67;7389689,16;289.2;POINT (-53.4789880679179035 -23.5835426774291896);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24121;PG3;P;0,0;0,0;0,01;EXTERNO;51;246994,94;7389670,38;288.22;POINT (-53.4790473570520319 -23.5837112577567609);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24122;PG3;P;0,0;0,0;0,0;EXTERNO;52;246993,94;7389652,71;288.14;POINT (-53.4790601452465992 -23.5838705604882328);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24123;PG3;P;0,01;0,01;0,02;EXTERNO;53;246986,66;7389641,47;288.16;POINT (-53.4791333323241105 -23.5839708553851075);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24124;PG3;P;0,0;0,0;0,0;EXTERNO;54;246975,96;7389620,30;286.92;POINT (-53.4792416901276368 -23.5841602266836894);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24125;PG3;P;0,0;0,0;0,01;EXTERNO;55;246979,75;7389608,54;288.51;POINT (-53.4792065757300747 -23.5842669447064992);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24126;PG3;P;0,0;0,0;0,0;EXTERNO;56;246979,87;7389596,73;288.55;POINT (-53.4792074039665621 -23.5843735402078067);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24127;PG3;P;0,0;0,0;0,0;EXTERNO;57;246967,72;7389587,47;288.33;POINT (-53.4793279394399974 -23.5844552055595962);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24128;PG3;P;0,0;0,0;0,01;EXTERNO;58;246937,15;7389583,57;288.3;POINT (-53.4796279223180804 -23.5844856206606188);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24129;PG3;P;0,0;0,0;0,01;EXTERNO;59;246935,31;7389571,30;285.71;POINT (-53.4796480199968727 -23.5845960608304033);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24130;PG3;P;0,0;0,0;0,0;EXTERNO;60;246924,91;7389564,65;286.03;POINT (-53.4797509782479068 -23.5846544460824248);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24131;PG3;P;0,0;0,0;0,01;EXTERNO;61;246910,37;7389546,84;288.39;POINT (-53.4798963663083669 -23.5848128947661237);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24132;PG3;P;0,0;0,0;0,0;EXTERNO;62;246893,11;7389547,50;288.39;POINT (-53.4800652532332705 -23.5848042395826738);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24133;PG3;P;0,0;0,0;0,0;EXTERNO;63;246886,89;7389535,50;288.21;POINT (-53.4801281917291647 -23.5849115581099618);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24134;PG3;P;0,0;0,0;0,0;EXTERNO;64;246887,31;7389525,54;288.27;POINT (-53.4801257694323553 -23.5850015055491760);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24135;PG3;P;0,0;0,0;0,01;EXTERNO;65;246895,08;7389514,43;288.39;POINT (-53.4800515756128263 -23.5851029803755736);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24136;PG3;P;0,0;0,0;0,0;EXTERNO;66;246910,49;7389493,82;288.52;POINT (-53.4799041873500727 -23.5852913805370612);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24137;PG3;P;0,0;0,0;0,0;EXTERNO;67;246915,93;7389493,59;288.58;POINT (-53.4798509611649919 -23.5852943068221421);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24138;PG3;P;0,0;0,0;0,0;EXTERNO;68;246920,91;7389484,22;288.95;POINT (-53.4798037897816769 -23.5853796430240941);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24139;PG3;P;0,0;0,0;0,0;EXTERNO;69;246934,93;7389470,80;288.72;POINT (-53.4796687910900914 -23.5855029411122636);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24140;PG3;P;0,0;0,0;0,0;EXTERNO;70;246939,24;7389453,19;287.88;POINT (-53.4796295777573292 -23.5856625325357037);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24141;PG3;P;0,0;0,0;0,01;EXTERNO;71;246940,39;7389432,56;289.45;POINT (-53.4796218176693543 -23.5858488831505184);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24142;PG3;P;0,0;0,0;0,0;EXTERNO;72;246965,90;7389441,16;288.89;POINT (-53.4793705790357450 -23.5857752630774726);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24143;PG3;P;0,0;0,0;0,01;EXTERNO;73;246979,19;7389437,73;287.35;POINT (-53.4792410326524887 -23.5858082941883467);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24144;PG3;P;0,01;0,01;0,02;EXTERNO;74;247011,23;7389431,03;288.54;POINT (-53.4789284512126386 -23.5858737657488824);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24145;PG3;P;0,0;0,0;0,0;EXTERNO;75;247019,15;7389424,28;289.13;POINT (-53.4788520477820200 -23.5859359176977357);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24146;PG3;P;0,0;0,0;0,01;EXTERNO;76;247049,74;7389406,27;289.17;POINT (-53.4785555814341649 -23.5861032265104242);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24147;PG3;P;0,0;0,0;0,01;EXTERNO;77;247063,27;7389391,31;289.34;POINT (-53.4784256397716078 -23.5862403444741133);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24148;PG3;P;0,0;0,0;0,0;EXTERNO;78;247068,04;7389375,35;287.8;POINT (-53.4783816408793840 -23.5863851175422177);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24149;PG3;P;0,0;0,0;0,0;EXTERNO;79;247079,47;7389371,20;289.38;POINT (-53.4782704278530119 -23.5864243546916121);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24150;PG3;P;0,0;0,0;0,0;EXTERNO;80;247089,40;7389359,47;289.58;POINT (-53.4781751873086648 -23.5865317614224423);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24151;PG3;P;0,0;0,0;0,0;EXTERNO;81;247078,43;7389343,99;289.3;POINT (-53.4782852251004002 -23.5866697429039149);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24152;PG3;P;0,0;0,0;0,0;EXTERNO;82;247112,06;7389323,62;289.38;POINT (-53.4779593902695964 -23.5868588231881162);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24153;PG3;P;0,0;0,0;0,0;EXTERNO;83;247133,03;7389310,39;289.19;POINT (-53.4777563049007796 -23.5869814913013371);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24154;PG3;P;0,0;0,0;0,0;EXTERNO;84;247115,13;7389299,84;289.81;POINT (-53.4779333622390851 -23.5870739004305392);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24155;PG3;P;0,0;0,0;0,01;EXTERNO;85;247137,88;7389265,13;289.59;POINT (-53.4777164892928880 -23.5873906883409461);
40ed580b-d8bd-4b2c-a8c7-e4dbf7788e6d;DB5-P-24156;PG3;P;0,0;0,0;0,0;EXTERNO;86;247178,19;7389255,82;289.6;POINT (-53.4773233691992687 -23.5874810026461041);
