QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-01297;PA2;V;0,0;0,0;0,01;EXTERNO;1;53 14 50,999 W;23 26 54,638 S;307.89;POINT (-53.2474997200000004 -23.4485105599999990);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-M-02073;PG6;M;0,0;0,0;0,01;EXTERNO;2;53 14 51,010 W;23 26 55,125 S;314.2;POINT (-53.2475027799999978 -23.4486458300000002);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1298;PA2;V;0,0;0,0;0,01;EXTERNO;3;53 14 51,728 W;23 27 25,244 S;354.61;POINT (-53.2477022200000008 -23.4570122199999993);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-M-02074;PG6;M;0,0;0,0;0,01;EXTERNO;4;53 14 51,736 W;23 27 25,587 S;354.04;POINT (-53.2477044399999997 -23.4571074999999993);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1299;PA1;V;0,0;0,0;0,01;EXTERNO;5;53 14 52,445 W;23 27 25,504 S;350.71;POINT (-53.2479013900000027 -23.4570844399999991);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1300;PA1;V;0,0;0,0;0,01;EXTERNO;6;53 14 53,152 W;23 27 25,404 S;349.25;POINT (-53.2480977800000019 -23.4570566700000001);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1301;PA1;V;0,0;0,0;0,01;EXTERNO;7;53 14 53,865 W;23 27 25,315 S;347.07;POINT (-53.2482958300000035 -23.4570319400000002);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1302;PA1;V;0,0;0,0;0,01;EXTERNO;8;53 14 54,576 W;23 27 25,252 S;345.16;POINT (-53.2484933300000023 -23.4570144399999982);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1303;PA1;V;0,0;0,0;0,01;EXTERNO;9;53 14 55,261 W;23 27 25,136 S;343.42;POINT (-53.2486836100000005 -23.4569822200000004);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1304;PA1;V;0,0;0,0;0,01;EXTERNO;10;53 14 55,976 W;23 27 25,027 S;342.06;POINT (-53.2488822199999987 -23.4569519399999997);
