QRCODE;DO_VERTICE;AO_VERTICE;TIPO;AZIMUTE;COMPRIMENTO;CONFRONTANTE_DESC;LADO;INDICE;GEOMETRIA_WKT;
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-01297;SDER-M-02073;LA1;181,195646665;14,9851936171;Lote n 308-A INCRA 7182460088930 e propriedade de Lujan Agropecuaria LTDA;EXTERNO;1;LINESTRING (-53.2474997200000004 -23.4485105599999990, -53.2475027799999978 -23.4486458300000002);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-M-02073;SDER-V-1298;LA1;181,259860696;926,853825306;Lote n 308-A INCRA 7182460088930 e propriedade de Lujan Agropecuaria LTDA;EXTERNO;2;LINESTRING (-53.2475027799999978 -23.4486458300000002, -53.2477022200000008 -23.4570122199999993);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1298;SDER-M-02074;LA1;181,231408587;10,5553294475;Lote n 308-A INCRA 7182460088930 e propriedade de Lujan Agropecuaria LTDA;EXTERNO;3;LINESTRING (-53.2477022200000008 -23.4570122199999993, -53.2477044399999997 -23.4571074999999993);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-M-02074;SDER-V-1299;LA3;277,232904755;20,2857196088;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;4;LINESTRING (-53.2477044399999997 -23.4571074999999993, -53.2479013900000027 -23.4570844399999991);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1299;SDER-V-1300;LA3;278,713952215;20,3014119892;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;5;LINESTRING (-53.2479013900000027 -23.4570844399999991, -53.2480977800000019 -23.4570566700000001);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1300;SDER-V-1301;LA3;277,708024986;20,4212069196;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;6;LINESTRING (-53.2480977800000019 -23.4570566700000001, -53.2482958300000035 -23.4570319400000002);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1301;SDER-V-1302;LA3;275,486114864;20,2733510426;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;7;LINESTRING (-53.2482958300000035 -23.4570319400000002, -53.2484933300000023 -23.4570144399999982);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1302;SDER-V-1303;LA3;280,400418729;19,7675263205;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;8;LINESTRING (-53.2484933300000023 -23.4570144399999982, -53.2486836100000005 -23.4569822200000004);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1303;SDER-V-1304;LA3;279,383663494;20,5691473599;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;9;LINESTRING (-53.2486836100000005 -23.4569822200000004, -53.2488822199999987 -23.4569519399999997);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1304;SDER-V-1305;LA3;278,666576833;20,2130506469;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;10;LINESTRING (-53.2488822199999987 -23.4569519399999997, -53.2490777800000004 -23.4569244400000017);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1305;SDER-V-1306;LA3;278,703390716;20,1282039588;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;11;LINESTRING (-53.2490777800000004 -23.4569244400000017, -53.2492724999999965 -23.4568969400000000);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1306;SDER-V-1307;LA3;279,367641577;20,5971969188;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;12;LINESTRING (-53.2492724999999965 -23.4568969400000000, -53.2494713899999965 -23.4568666700000001);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1307;SDER-V-1308;LA3;277,146340123;20,2808162111;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;13;LINESTRING (-53.2494713899999965 -23.4568666700000001, -53.2496683299999987 -23.4568438899999983);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1308;SDER-V-1309;LA3;278,368587091;20,0826748088;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;14;LINESTRING (-53.2496683299999987 -23.4568438899999983, -53.2498627800000008 -23.4568174999999997);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1309;SDER-V-1310;LA3;278,742603167;20,4466674571;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;15;LINESTRING (-53.2498627800000008 -23.4568174999999997, -53.2500605600000014 -23.4567894400000014);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1310;SDER-V-1311;LA3;276,006325223;20,5764876442;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;16;LINESTRING (-53.2500605600000014 -23.4567894400000014, -53.2502608300000020 -23.4567699999999988);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1311;SDER-V-1312;LA3;276,956814981;19,8154813121;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;17;LINESTRING (-53.2502608300000020 -23.4567699999999988, -53.2504533299999991 -23.4567483299999999);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1312;SDER-V-1313;LA3;278,304611852;20,0215685111;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;18;LINESTRING (-53.2504533299999991 -23.4567483299999999, -53.2506472199999976 -23.4567222199999996);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1313;SDER-V-1314;LA3;278,125007575;20,2416511639;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;19;LINESTRING (-53.2506472199999976 -23.4567222199999996, -53.2508433300000021 -23.4566963900000012);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1314;SDER-V-1315;LA3;278,052132835;20,2101317911;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;20;LINESTRING (-53.2508433300000021 -23.4566963900000012, -53.2510391699999985 -23.4566708300000002);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1315;SDER-V-1316;LA3;276,664499802;20,1459926521;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;21;LINESTRING (-53.2510391699999985 -23.4566708300000002, -53.2512350000000012 -23.4566497200000015);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1316;SDER-V-1317;LA3;278,257462315;19,7032345289;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;22;LINESTRING (-53.2512350000000012 -23.4566497200000015, -53.2514258300000023 -23.4566241700000013);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1317;SDER-V-1318;LA3;282,29975917;20,2195513091;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;23;LINESTRING (-53.2514258300000023 -23.4566241700000013, -53.2516191699999979 -23.4565852799999988);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1318;SDER-V-1319;LA3;277,876270422;20,658435176;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;24;LINESTRING (-53.2516191699999979 -23.4565852799999988, -53.2518194399999985 -23.4565597200000013);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1319;SDER-V-1320;LA3;277,75832502;20,2813544259;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;25;LINESTRING (-53.2518194399999985 -23.4565597200000013, -53.2520161099999996 -23.4565349999999988);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1320;SDER-V-1321;LA3;276,991727872;20,217438507;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;26;LINESTRING (-53.2520161099999996 -23.4565349999999988, -53.2522124999999988 -23.4565127800000006);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1321;SDER-V-1322;LA3;276,229248348;20,4144703827;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;27;LINESTRING (-53.2522124999999988 -23.4565127800000006, -53.2524111099999971 -23.4564927800000014);
26ed303e-0201-4b22-b088-0cdfaa9d063d;SDER-V-1322;SDER-V-1323;LA3;277,497843303;19,8103946635;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94;EXTERNO;28;LINESTRING (-53.2524111099999971 -23.4564927800000014, -53.2526033299999995 -23.4564694399999993);
