PT;X(Este);Y(Norte);Z(Cota);SX;SY;SZ;Confrontante
SDER-V-01297;270400.296;7405036.287;307.89;0.0;0.0;0.01;Lote n 308-A INCRA 7182460088930 e propriedade de Lujan Agropecuaria LTDA
SDER-M-02073;270400.218;7405021.299;314.2;0.0;0.0;0.01;Lote n 308-A INCRA 7182460088930 e propriedade de Lujan Agropecuaria LTDA
SDER-V-1298;270394.313;7404094.280;354.61;0.0;0.0;0.01;Lote n 308-A INCRA 7182460088930 e propriedade de Lujan Agropecuaria LTDA
SDER-M-02074;270394.251;7404083.723;354.04;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1299;270374.085;7404085.963;350.71;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1300;270353.968;7404088.725;349.25;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1301;270333.687;7404091.148;347.07;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1302;270313.475;7404092.771;345.16;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1303;270293.975;7404096.036;343.42;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1304;270273.627;7404099.073;342.06;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1305;270253.596;7404101.806;340.74;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1306;270233.650;7404104.541;339.51;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1307;270213.274;7404107.576;339.16;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
SDER-V-1308;270193.109;7404109.785;337.55;0.0;0.0;0.01;Estrada Municipal, Bairro zona rural, na cidade de Douradina-PR, de propriedade de Municipio de Douradina, localizado em Av. Barão do Rio Branco, 767, Douradina-PR, CNPJ nº 78.200.110/0001-94
